,Tweet,Affect Dimension,emojis,Emoji Sentiment,puretext,c_emojis,stweets
667,sorry this heartbreaking scary if happen happen please safe  🙏🏻  terror,0,🙏 🏻,0.0,sorry this heartbreaking scary if happen happen please safe    terror,,sorry this heartbreaking scary if happen happen please safe   🙏  🏻   terror
670,false alarm coming today  😞 ,0,😞,-1.0,false alarm coming today   ,,false alarm coming today   😞  
682,shaking  🙃 ,0,🙃,0.5,shaking   ,,shaking   🙃  
683,i dread math  😴 ,0,😴,0.0,i dread math   ,,i dread math   😴  
713,come running saying miss cower away try friendship  👍🏼 ,0,👍 🏼,0.0,come running saying miss cower away try friendship   ,,come running saying miss cower away try friendship   👍  🏼  
724, 😫  i want like nightmare,0,😫,-1.0,   i want like nightmare,😫,  😫   i want like nightmare
729,voice foot tapping  👌 ,0,👌,0.0,voice foot tapping   ,,voice foot tapping   👌  
743,i alternate sleepless nights tonight sleepless  😕  insomnia,0,😕,-0.5,i alternate sleepless nights tonight sleepless    insomnia,😕,i alternate sleepless nights tonight sleepless   😕   insomnia
750,there like shower power goes  😳  creepy,0,😳,0.0,there like shower power goes    creepy,,there like shower power goes   😳   creepy
774,shake booty instead sure good  🙂 ,0,🙂,0.5,shake booty instead sure good   ,,shake booty instead sure good   🙂  
804,i picked phone shocking  😳 ,0,😳,0.0,i picked phone shocking   ,,i picked phone shocking   😳  
808,getting nervous anatomy exam  😩 ,0,😩,-1.0,getting nervous anatomy exam   ,😩,getting nervous anatomy exam   😩  
811,today terrible tonight end better i malik  ❤️ ,0,❤,0.0,today terrible tonight end better i malik  ️ ,❤,today terrible tonight end better i malik   ❤ ️ 
834, ❤️ ,0,❤,0.0, ️ ,❤,  ❤ ️ 
851,i forgot tonight  😳  real world horrid,0,😳,0.0,i forgot tonight    real world horrid,,i forgot tonight   😳   real world horrid
852,some hip shaking going tonight  😜 ,0,😜,0.5,some hip shaking going tonight   ,😜,some hip shaking going tonight   😜  
855,tomorrow day i cut dye hair  😳  excited,0,😳,0.0,tomorrow day i cut dye hair    excited,,tomorrow day i cut dye hair   😳   excited
862,horrific something needs  😢 ,0,😢,-1.0,horrific something needs   ,😢,horrific something needs   😢  
874,movie good time whilst young  😂  still enjoy shy hawk,0,😂,1.0,movie good time whilst young    still enjoy shy hawk,😂,movie good time whilst young   😂   still enjoy shy hawk
876,i told  😂  then old wasted start,0,😂,1.0,i told    then old wasted start,😂,i told   😂   then old wasted start
888,good start day i forgot set alarm  😆 ,0,😆,1.0,good start day i forgot set alarm   ,😆,good start day i forgot set alarm   😆  
901,struggle real whoa i worry younger generation  💔 ,0,💔,0.0,struggle real whoa i worry younger generation   ,💔,struggle real whoa i worry younger generation   💔  
920,shock horror handicap dodger  😂  close cup good think pressure,0,😂,0.5,shock horror handicap dodger    close cup good think pressure,😂,shock horror handicap dodger   😂   close cup good think pressure
921,havent gotten hour sleep today going fun day  😐 ,0,😐,0.0,havent gotten hour sleep today going fun day   ,😐,havent gotten hour sleep today going fun day   😐  
928,high school shocking just love good luck tomorrow  💪 ,0,💪,0.0,high school shocking just love good luck tomorrow   ,,high school shocking just love good luck tomorrow   💪  
939,i coward i feel terrible but i face  😭 ,0,😭,-1.0,i coward i feel terrible but i face   ,😭,i coward i feel terrible but i face   😭  
942,some people realize black feel way  😳  terrible,0,😳,0.0,some people realize black feel way    terrible,,some people realize black feel way   😳   terrible
943,awful  🙈 ,0,🙈,0.0,awful   ,,awful   🙈  
946,different laugh  🐝 ,0,🐝,0.0,different laugh   ,,different laugh   🐝  
964,men handle suspicion horn  😩 ,0,😩,-1.0,men handle suspicion horn   ,😩,men handle suspicion horn   😩  
977,watched movie friend request awhile ago dark cold night bad nightmare  😰 ,0,😰,-1.0,watched movie friend request awhile ago dark cold night bad nightmare   ,😰,watched movie friend request awhile ago dark cold night bad nightmare   😰  
990, 😭  so got taking sweet time the market stupid tho,0,😭,-1.0,   so got taking sweet time the market stupid tho,😭,  😭   so got taking sweet time the market stupid tho
999,chocolate feast ice lolly proper shocking  😩 ,0,😩,-1.0,chocolate feast ice lolly proper shocking   ,😩,chocolate feast ice lolly proper shocking   😩  
1031,booked nervous  🛩 ,0,🛩,0.6666666666666666,booked nervous   ,,booked nervous   🛩  
1051, 😭  nightmare woke  😭 ,0,😭 😭,-1.0,   nightmare woke   ,😭 😭,  😭   nightmare woke   😭  
1080,f swung piece  💩 ,0,💩,-1.0,f swung piece   ,,f swung piece   💩  
1083,sixth form morning  🎭  revolting assembly  🎭 ,0,🎭 🎭,0.0,sixth form morning    revolting assembly   ,,sixth form morning   🎭   revolting assembly   🎭  
1087,there like shower power goes  😳  creepy panic,0,😳,0.0,there like shower power goes    creepy panic,,there like shower power goes   😳   creepy panic
1089,first day fall quarter tomorrow  😰  excited anxious,0,😰,-1.0,first day fall quarter tomorrow    excited anxious,😰,first day fall quarter tomorrow   😰   excited anxious
1096,send good luck job interview tomorrow nervous  😳 ,0,😳,0.0,send good luck job interview tomorrow nervous   ,,send good luck job interview tomorrow nervous   😳  
1099,i dont think fast panic life  😂  gave fright  😓 ,0,😂 😓,0.25,i dont think fast panic life    gave fright   ,😂 😓,i dont think fast panic life   😂   gave fright   😓  
1150,sorry worth nearly thats plain lunacy game  😱 ,0,😱,-1.0,sorry worth nearly thats plain lunacy game   ,😱,sorry worth nearly thats plain lunacy game   😱  
1195,shocking i know  😂  hear moan cold winter,0,😂,0.5,shocking i know    hear moan cold winter,😂,shocking i know   😂   hear moan cold winter
1284,i nervous actually attractive guy talk person like i turn habit  😭 ,0,😭,-1.0,i nervous actually attractive guy talk person like i turn habit   ,😭,i nervous actually attractive guy talk person like i turn habit   😭  
1293,however i pretty sure excitement help bullet journal fright  🙃 ,0,🙃,0.5,however i pretty sure excitement help bullet journal fright   ,,however i pretty sure excitement help bullet journal fright   🙃  
1313,ea sports technical support team  😊  me at how they were,0,😊,0.5,ea sports technical support team    me at how they were,😊,ea sports technical support team   😊   me at how they were
1329,one day drinking bottle sleeping zero my lovely horror fam watch  🎩 ,0,🎩,0.0,one day drinking bottle sleeping zero my lovely horror fam watch   ,,one day drinking bottle sleeping zero my lovely horror fam watch   🎩  
1357,just reverse half way collect dog n reverse life  🙄 ,0,🙄,-0.5,just reverse half way collect dog n reverse life   ,,just reverse half way collect dog n reverse life   🙄  
1389,that minute like watching horror  😥 ,0,😥,-0.5,that minute like watching horror   ,😥,that minute like watching horror   😥  
1415,awe man mad sitting cutting tulle ribbon  😂 ,0,😂,1.0,awe man mad sitting cutting tulle ribbon   ,😂,awe man mad sitting cutting tulle ribbon   😂  
1419,cant believe seeing set anxiety  🖕 ,0,🖕,0.0,cant believe seeing set anxiety   ,,cant believe seeing set anxiety   🖕  
1426,great card  😱  its twice nightmare,0,😱,-1.0,great card    its twice nightmare,😱,great card   😱   its twice nightmare
1434,horror story bed  👌🏼 ,0,👌 🏼,0.0,horror story bed   ,,horror story bed   👌  🏼  
1445,just reverse half way collect dog n reverse life  🙄  nightmare,0,🙄,-0.5,just reverse half way collect dog n reverse life    nightmare,,just reverse half way collect dog n reverse life   🙄   nightmare
1446,some people realize black feel way  😳 ,0,😳,0.0,some people realize black feel way   ,,some people realize black feel way   😳  
1461,i idea i came air shocking  😕 ,0,😕,-0.5,i idea i came air shocking   ,😕,i idea i came air shocking   😕  
1490,i alternate sleepless nights tonight sleepless  😕  insomnia anxiety,0,😕,-0.5,i alternate sleepless nights tonight sleepless    insomnia anxiety,😕,i alternate sleepless nights tonight sleepless   😕   insomnia anxiety
1493,dont early overwhelming reading use cue  😊  better,0,😊,0.5,dont early overwhelming reading use cue    better,😊,dont early overwhelming reading use cue   😊   better
1506,at end day i know worry leaving  💕 ,0,💕,0.0,at end day i know worry leaving   ,💕,at end day i know worry leaving   💕  
1507,put passport safe getting  🌏  only problem i remember safe panic  🛂 ,0,🌏 🛂,0.0,put passport safe getting    only problem i remember safe panic   ,,put passport safe getting   🌏   only problem i remember safe panic   🛂  
1510, 😝  horror story wrote afraid terror spread start anniversary,0,😝,0.5,   horror story wrote afraid terror spread start anniversary,😝,  😝   horror story wrote afraid terror spread start anniversary
1514,order ship sept sept today  😐 ,0,😐,0.0,order ship sept sept today   ,😐,order ship sept sept today   😐  
1547,excited hope theyre horrid  😅 ,0,😅,1.0,excited hope theyre horrid   ,😅,excited hope theyre horrid   😅  
1558,you know good shaking  😂 ,0,😂,1.0,you know good shaking   ,😂,you know good shaking   😂  
1561,i want canada  😭  awe,0,😭,-1.0,i want canada    awe,😭,i want canada   😭   awe
1569,zombie gore slash ghost sith horror i love  🔪 ,0,🔪,0.0,zombie gore slash ghost sith horror i love   ,,zombie gore slash ghost sith horror i love   🔪  
1589,recording mum let know i i let high scream  😂 ,0,😂,1.0,recording mum let know i i let high scream   ,😂,recording mum let know i i let high scream   😂  
1590,terrible past week slow dropping continuously  😕 ,0,😕,-0.5,terrible past week slow dropping continuously   ,😕,terrible past week slow dropping continuously   😕  
1604,nightmare i love it  💕 ,0,💕,0.75,nightmare i love it   ,💕,nightmare i love it   💕  
1612,order ship sept sept today  😐  terrible,0,😐,0.0,order ship sept sept today    terrible,😐,order ship sept sept today   😐   terrible
1635,my favorite insult i straight white men usually  😂  you,0,😂,1.0,my favorite insult i straight white men usually    you,😂,my favorite insult i straight white men usually   😂   you
1726,just massive argument alarm today i didnt want i dont know going fix tomorrow morning  😕 ,0,😕,-0.5,just massive argument alarm today i didnt want i dont know going fix tomorrow morning   ,😕,just massive argument alarm today i didnt want i dont know going fix tomorrow morning   😕  
1729,i dont remember  😅  movie wasnt terrible wasnt scary i better ending  🙄 ,0,😅 🙄,0.25,i dont remember    movie wasnt terrible wasnt scary i better ending   ,😅,i dont remember   😅   movie wasnt terrible wasnt scary i better ending   🙄  
1747,f swung piece  💩  bully,0,💩,-1.0,f swung piece    bully,,f swung piece   💩   bully
1782,wrong hesitate block cut life completely  😇 ,0,😇,0.5,wrong hesitate block cut life completely   ,😇,wrong hesitate block cut life completely   😇  
1785,determine start word heart consistently every day line line tape tape  💨 ,0,💨,0.0,determine start word heart consistently every day line line tape tape   ,,determine start word heart consistently every day line line tape tape   💨  
1790,rescue morning turned gym hour early nightmare  ☝️ ,0,☝,0.0,rescue morning turned gym hour early nightmare  ️ ,,rescue morning turned gym hour early nightmare   ☝ ️ 
1808,agreed  😍  awe meet beautiful powerful,0,😍,1.0,agreed    awe meet beautiful powerful,😍,agreed   😍   awe meet beautiful powerful
1815,great card  😱  its twice,0,😱,-1.0,great card    its twice,😱,great card   😱   its twice
1834,i hate afraid share  😔 ,0,😔,-1.0,i hate afraid share   ,😔,i hate afraid share   😔  
1843,ladies tremendous success  😂 ,0,😂,1.0,ladies tremendous success   ,😂,ladies tremendous success   😂  
1852,when sadness leaves broken bed i hold despair love  🎶 ,0,🎶,0.0,when sadness leaves broken bed i hold despair love   ,,when sadness leaves broken bed i hold despair love   🎶  
1893,awe thank love  💕 ,0,💕,0.0,awe thank love   ,💕,awe thank love   💕  
1909,he fat i threaten sue  😂 ,0,😂,1.0,he fat i threaten sue   ,😂,he fat i threaten sue   😂  
1931,shy  😅 ,0,😅,1.0,shy   ,😅,shy   😅  
1991,i mad i lost track brown spider brown carpet where  🕷  sneaking,0,🕷,0.0,i mad i lost track brown spider brown carpet where    sneaking,,i mad i lost track brown spider brown carpet where   🕷   sneaking
1994,i dread drive  😩 ,0,😩,-1.0,i dread drive   ,😩,i dread drive   😩  
2005,did wrong fur pal shocking  😱 ,0,😱,-1.0,did wrong fur pal shocking   ,😱,did wrong fur pal shocking   😱  
2019,and i hope police met subway took straight jail  😕 ,0,😕,-0.5,and i hope police met subway took straight jail   ,😕,and i hope police met subway took straight jail   😕  
2022,awful music walk right cliff k  😘 ,0,😘,1.0,awful music walk right cliff k   ,😘,awful music walk right cliff k   😘  
2035, 🙈  come haunt cringe bad cringe  👈  terrible gun,0,🙈 👈,0.0,   come haunt cringe bad cringe    terrible gun,,  🙈   come haunt cringe bad cringe   👈   terrible gun
2049,terrify dont let bully wear loving consistency truth rough times  ❤️ ,0,❤,0.0,terrify dont let bully wear loving consistency truth rough times  ️ ,❤,terrify dont let bully wear loving consistency truth rough times   ❤ ️ 
2051,and  😓  restless,0,😓,-0.5,and    restless,😓,and   😓   restless
2064,you cool i feel slightly you are a very nice person i like the you do  💕 ,0,💕,0.0,you cool i feel slightly you are a very nice person i like the you do   ,💕,you cool i feel slightly you are a very nice person i like the you do   💕  
2083,does blow mind i sexually harass whoa huh setback fright  😂 ,0,😂,1.0,does blow mind i sexually harass whoa huh setback fright   ,😂,does blow mind i sexually harass whoa huh setback fright   😂  
2093,supposed know nervous  😶 ,0,😶,0.0,supposed know nervous   ,,supposed know nervous   😶  
2129,why people start drama shoot  ☹️ ,0,☹,0.0,why people start drama shoot  ️ ,☹,why people start drama shoot   ☹ ️ 
2135,being shy biggest struggle life  🙄 ,0,🙄,-0.5,being shy biggest struggle life   ,,being shy biggest struggle life   🙄  
2148,that heart pounding nightmare experience  😨  woke morning scary bad dream  😰 ,0,😨 😰,-1.0,that heart pounding nightmare experience    woke morning scary bad dream   ,😨 😰,that heart pounding nightmare experience   😨   woke morning scary bad dream   😰  
2150,and i hope police met subway took straight jail  😕  awful,0,😕,-0.5,and i hope police met subway took straight jail    awful,😕,and i hope police met subway took straight jail   😕   awful
2161,sorry this heartbreaking scary if happen happen please safe  🙏🏻 ,0,🙏 🏻,0.0,sorry this heartbreaking scary if happen happen please safe   ,,sorry this heartbreaking scary if happen happen please safe   🙏  🏻  
2186,you sure lot doesnt concern  😉 ,0,😉,0.5,you sure lot doesnt concern   ,😉,you sure lot doesnt concern   😉  
2191,and  😓 ,0,😓,-0.5,and   ,😓,and   😓  
2193, 🙃  school aka social anxiety  🙃 ,0,🙃 🙃,0.5,   school aka social anxiety   ,,  🙃   school aka social anxiety   🙃  
2204,havent gotten hour sleep today going fun day  😐  restless,0,😐,0.0,havent gotten hour sleep today going fun day    restless,😐,havent gotten hour sleep today going fun day   😐   restless
2211,i fright night park month  👻 ,0,👻,-0.5,i fright night park month   ,,i fright night park month   👻  
2231,fright fest night  👻 ,0,👻,-0.5,fright fest night   ,,fright fest night   👻  
2259,i hate getting sleep  😡 ,3,😡,-1.0,i hate getting sleep   ,😡,i hate getting sleep   😡  
2267,dropping son morning shopping wedding fun afternoon your wont explode today  😀 ,3,😀,1.0,dropping son morning shopping wedding fun afternoon your wont explode today   ,😀,dropping son morning shopping wedding fun afternoon your wont explode today   😀  
2304,but i wouldnt i bitter  😂 ,3,😂,1.0,but i wouldnt i bitter   ,😂,but i wouldnt i bitter   😂  
2319,i want friendship group like  😧 ,3,😧,-1.0,i want friendship group like   ,😧,i want friendship group like   😧  
2326,i real sorry offended  🤷🏽‍♂️ ,3,🤷 🏽 ♂,0.0,i real sorry offended  ‍️ ,,i real sorry offended   🤷  🏽 ‍ ♂ ️ 
2328,fuming fuming  🙄  fuming,3,🙄,-0.5,fuming fuming    fuming,,fuming fuming   🙄   fuming
2342,girl on teen screaming dilated  😭  i i wouldnt water,3,😭,-1.0,girl on teen screaming dilated    i i wouldnt water,😭,girl on teen screaming dilated   😭   i i wouldnt water
2351, 💖 ,3,💖,0.0,  ,💖,  💖  
2358,thats furious welsh woman what look forward future  😢 ,3,😢,-1.0,thats furious welsh woman what look forward future   ,😢,thats furious welsh woman what look forward future   😢  
2363,you crap therefore  😐  response,3,😐,0.0,you crap therefore    response,😐,you crap therefore   😐   response
2364,see people selling conference free scum  😡 ,3,😡,-1.0,see people selling conference free scum   ,😡,see people selling conference free scum   😡  
2368,anyone difficult stop making petty tweet ur absolutely raging  😬 ,3,😬,-0.5,anyone difficult stop making petty tweet ur absolutely raging   ,😬,anyone difficult stop making petty tweet ur absolutely raging   😬  
2390,i sixth grade teacher year year fifth grade teacher got mad  😂 ,3,😂,1.0,i sixth grade teacher year year fifth grade teacher got mad   ,😂,i sixth grade teacher year year fifth grade teacher got mad   😂  
2394,binge watching revenge  🤓 ,3,🤓,0.5,binge watching revenge   ,,binge watching revenge   🤓  
2397,no sorry pedantic reason  😂  rest spot,3,😂,1.0,no sorry pedantic reason    rest spot,😂,no sorry pedantic reason   😂   rest spot
2409,does anybody annoy talking probably trying annoy  😂 ,3,😂,1.0,does anybody annoy talking probably trying annoy   ,😂,does anybody annoy talking probably trying annoy   😂  
2424,good know  👌🏼  hard offend comes,3,👌 🏼,0.0,good know    hard offend comes,,good know   👌  🏼   hard offend comes
2436, ☹ ,3,☹,0.0,  ,☹,  ☹  
2455,easy unhappy  😐 ,3,😐,0.0,easy unhappy   ,😐,easy unhappy   😐  
2458,they days bleak  😬 ,3,😬,-0.5,they days bleak   ,😬,they days bleak   😬  
2460,my head like burst  😣  thing time  😩 ,3,😣 😩,-1.0,my head like burst    thing time   ,😩,my head like burst   😣   thing time   😩  
2461,the hotel alarm clock going morning unplug  😤 ,3,😤,-1.0,the hotel alarm clock going morning unplug   ,😤,the hotel alarm clock going morning unplug   😤  
2477,worse boil z  😭 ,3,😭,-1.0,worse boil z   ,😭,worse boil z   😭  
2478,mad laughing actually tweet tony  😂 ,3,😂,1.0,mad laughing actually tweet tony   ,😂,mad laughing actually tweet tony   😂  
2484,i hope dont animosity new  🙇🏽‍♀️ ,3,🙇 🏽 ♀,0.0,i hope dont animosity new  ‍️ ,,i hope dont animosity new   🙇  🏽 ‍ ♀ ️ 
2485,once ill graduate i hope ill time start learning long  😢 ,3,😢,-1.0,once ill graduate i hope ill time start learning long   ,😢,once ill graduate i hope ill time start learning long   😢  
2491,screw work  😠  time cut worthless,3,😠,-1.0,screw work    time cut worthless,😠,screw work   😠   time cut worthless
2498,i patient waiting money came rage gone hard  😆 ,3,😆,0.0833333333333333,i patient waiting money came rage gone hard   ,😆,i patient waiting money came rage gone hard   😆  
2507,poor dogs have bite sun bitch  😠 ,3,😠,-1.0,poor dogs have bite sun bitch   ,😠,poor dogs have bite sun bitch   😠  
2515,really enjoying incense house moment sense calm  💆🏽  incense,3,💆 🏽,0.0,really enjoying incense house moment sense calm    incense,,really enjoying incense house moment sense calm   💆  🏽   incense
2525,happy right i beaten second game crash bandicoot didnt mad  😡  game  😂 ,3,😡 😂,0.0,happy right i beaten second game crash bandicoot didnt mad    game   ,😡 😂,happy right i beaten second game crash bandicoot didnt mad   😡   game   😂  
2527,mad spent time kodak morning  😡 ,3,😡,-1.0,mad spent time kodak morning   ,😡,mad spent time kodak morning   😡  
2532,watching insecure bitch cheating loyal ass and breakfast stay happy  🙄 ,3,🙄,-0.5,watching insecure bitch cheating loyal ass and breakfast stay happy   ,,watching insecure bitch cheating loyal ass and breakfast stay happy   🙄  
2534,good ass day yesterday went sleep happy man woke happy id usually hell  😂 ,3,😂,1.0,good ass day yesterday went sleep happy man woke happy id usually hell   ,😂,good ass day yesterday went sleep happy man woke happy id usually hell   😂  
2535,dull moment u  💕 ,3,💕,0.0,dull moment u   ,💕,dull moment u   💕  
2539,free my man from  😤 ,3,😤,-1.0,free my man from   ,😤,free my man from   😤  
2542,oh lord i hit cause floor throw  🤦🏽‍♀️ ,3,🤦 🏽 ♀,0.0,oh lord i hit cause floor throw  ‍️ ,,oh lord i hit cause floor throw   🤦  🏽 ‍ ♀ ️ 
2547,fan i hate joe buck glad old  😂  bitter,3,😂,1.0,fan i hate joe buck glad old    bitter,😂,fan i hate joe buck glad old   😂   bitter
2564, ☹ ,3,☹,0.0,  ,☹,  ☹  
2567,damn twitter making everybody mad hilarious  😂 ,3,😂,1.0,damn twitter making everybody mad hilarious   ,😂,damn twitter making everybody mad hilarious   😂  
2569,juvenile peregrine morning saint fuming  😉 ,3,😉,0.5,juvenile peregrine morning saint fuming   ,😉,juvenile peregrine morning saint fuming   😉  
2576,horrible interview u talk paper bag u dont buy crap coming ur mouth  👎 ,3,👎,0.0,horrible interview u talk paper bag u dont buy crap coming ur mouth   ,,horrible interview u talk paper bag u dont buy crap coming ur mouth   👎  
2579,dear fellow fall despair soon drink beer end  🐬 ,3,🐬,0.0,dear fellow fall despair soon drink beer end   ,,dear fellow fall despair soon drink beer end   🐬  
2595,tiff yes  👌 ,3,👌,0.0,tiff yes   ,,tiff yes   👌  
2609,i i people post i know fuming  🙃 ,3,🙃,0.5,i i people post i know fuming   ,,i i people post i know fuming   🙃  
2612,i graduated yesterday family job got  😂  nightmare,3,😂,1.0,i graduated yesterday family job got    nightmare,😂,i graduated yesterday family job got   😂   nightmare
2620,offended cause  😜 ,3,😜,0.5,offended cause   ,😜,offended cause   😜  
2634,me start semester mids passing quit  😡 ,3,😡,-1.0,me start semester mids passing quit   ,😡,me start semester mids passing quit   😡  
2642,recommend burning scalp sun glowing red  😂  cap need,3,😂,1.0,recommend burning scalp sun glowing red    cap need,😂,recommend burning scalp sun glowing red   😂   cap need
2646,man  😡  face head hurting,3,😡,-1.0,man    face head hurting,😡,man   😡   face head hurting
2661,all great news hurting folk happy  😊 ,3,😊,0.5,all great news hurting folk happy   ,😊,all great news hurting folk happy   😊  
2665,offense love k culture u love want  💖  personally want know,3,💖,0.0,offense love k culture u love want    personally want know,💖,offense love k culture u love want   💖   personally want know
2666, 😠  waiting update fraction,3,😠,-1.0,   waiting update fraction,😠,  😠   waiting update fraction
2688,pound despite because idiocy arrogance  ☹️ ,3,☹,0.0,pound despite because idiocy arrogance  ️ ,☹,pound despite because idiocy arrogance   ☹ ️ 
2689,sick w my ex na getting crap you like month  😂 ,3,😂,1.0,sick w my ex na getting crap you like month   ,😂,sick w my ex na getting crap you like month   😂  
2691,hate tan refuse tan salon  🙄 ,3,🙄,-0.5,hate tan refuse tan salon   ,,hate tan refuse tan salon   🙄  
2695,air disrespectful  😡 ,3,😡,-1.0,air disrespectful   ,😡,air disrespectful   😡  
2702,i read bed  😀 ,3,😀,1.0,i read bed   ,😀,i read bed   😀  
2703,read laying sort forget boiling sun sweat poring face  🙌 ,3,🙌,0.0,read laying sort forget boiling sun sweat poring face   ,,read laying sort forget boiling sun sweat poring face   🙌  
2705,extra lazy today  😟 ,3,😟,-1.0,extra lazy today   ,,extra lazy today   😟  
2729,people worst going tell i know bout life thats i i care  😤 ,3,😤,-1.0,people worst going tell i know bout life thats i i care   ,😤,people worst going tell i know bout life thats i i care   😤  
2734,i said new  😊 ,3,😊,0.5,i said new   ,😊,i said new   😊  
2739,transfer news theres  😡 ,3,😡,-1.0,transfer news theres   ,😡,transfer news theres   😡  
2748,thanks  💚  tiff got pair ill probably steal,3,💚,0.0,thanks    tiff got pair ill probably steal,,thanks   💚   tiff got pair ill probably steal
2754,point sa di jud di jud  ☹  ga ta  😭 ,3,☹ 😭,-0.5,point sa di jud di jud    ga ta   ,☹ 😭,point sa di jud di jud   ☹   ga ta   😭  
2765,battery drain red hot  🙁 ,3,🙁,-0.5,battery drain red hot   ,,battery drain red hot   🙁  
2782, 🎃  hatred racism everyone,3,🎃,0.3333333333333333,   hatred racism everyone,,  🎃   hatred racism everyone
2791,think got tired waiting didnt talk  😠 ,3,😠,-1.0,think got tired waiting didnt talk   ,😠,think got tired waiting didnt talk   😠  
