,Tweet,stweets,puretext,emojis,c_emojis,Affect Dimension
713,come running saying miss cower away try friendship  👍🏼 ,come running saying miss cower away try friendship   👍  🏼  ,come running saying miss cower away try friendship   ,👍 🏼,,0
724, 😫  i want like nightmare,  😫   i want like nightmare,   i want like nightmare,😫,😫,0
729,voice foot tapping  👌 ,voice foot tapping   👌  ,voice foot tapping   ,👌,,0
743,i alternate sleepless nights tonight sleepless  😕  insomnia,i alternate sleepless nights tonight sleepless   😕   insomnia,i alternate sleepless nights tonight sleepless    insomnia,😕,😕,0
750,there like shower power goes  😳  creepy,there like shower power goes   😳   creepy,there like shower power goes    creepy,😳,,0
774,shake booty instead sure good  🙂 ,shake booty instead sure good   🙂  ,shake booty instead sure good   ,🙂,,0
804,i picked phone shocking  😳 ,i picked phone shocking   😳  ,i picked phone shocking   ,😳,,0
808,getting nervous anatomy exam  😩 ,getting nervous anatomy exam   😩  ,getting nervous anatomy exam   ,😩,😩,0
811,today terrible tonight end better i malik  ❤️ ,today terrible tonight end better i malik   ❤ ️ ,today terrible tonight end better i malik  ️ ,❤,❤,0
834, ❤️ ,  ❤ ️ , ️ ,❤,❤,0
851,i forgot tonight  😳  real world horrid,i forgot tonight   😳   real world horrid,i forgot tonight    real world horrid,😳,,0
852,some hip shaking going tonight  😜 ,some hip shaking going tonight   😜  ,some hip shaking going tonight   ,😜,😜,0
855,tomorrow day i cut dye hair  😳  excited,tomorrow day i cut dye hair   😳   excited,tomorrow day i cut dye hair    excited,😳,,0
862,horrific something needs  😢 ,horrific something needs   😢  ,horrific something needs   ,😢,😢,0
874,movie good time whilst young  😂  still enjoy shy hawk,movie good time whilst young   😂   still enjoy shy hawk,movie good time whilst young    still enjoy shy hawk,😂,😂,0
876,i told  😂  then old wasted start,i told   😂   then old wasted start,i told    then old wasted start,😂,😂,0
888,good start day i forgot set alarm  😆 ,good start day i forgot set alarm   😆  ,good start day i forgot set alarm   ,😆,😆,0
901,struggle real whoa i worry younger generation  💔 ,struggle real whoa i worry younger generation   💔  ,struggle real whoa i worry younger generation   ,💔,💔,0
920,shock horror handicap dodger  😂  close cup good think pressure,shock horror handicap dodger   😂   close cup good think pressure,shock horror handicap dodger    close cup good think pressure,😂,😂,0
921,havent gotten hour sleep today going fun day  😐 ,havent gotten hour sleep today going fun day   😐  ,havent gotten hour sleep today going fun day   ,😐,😐,0
928,high school shocking just love good luck tomorrow  💪 ,high school shocking just love good luck tomorrow   💪  ,high school shocking just love good luck tomorrow   ,💪,,0
939,i coward i feel terrible but i face  😭 ,i coward i feel terrible but i face   😭  ,i coward i feel terrible but i face   ,😭,😭,0
942,some people realize black feel way  😳  terrible,some people realize black feel way   😳   terrible,some people realize black feel way    terrible,😳,,0
943,awful  🙈 ,awful   🙈  ,awful   ,🙈,,0
946,different laugh  🐝 ,different laugh   🐝  ,different laugh   ,🐝,,0
964,men handle suspicion horn  😩 ,men handle suspicion horn   😩  ,men handle suspicion horn   ,😩,😩,0
977,watched movie friend request awhile ago dark cold night bad nightmare  😰 ,watched movie friend request awhile ago dark cold night bad nightmare   😰  ,watched movie friend request awhile ago dark cold night bad nightmare   ,😰,😰,0
990, 😭  so got taking sweet time the market stupid tho,  😭   so got taking sweet time the market stupid tho,   so got taking sweet time the market stupid tho,😭,😭,0
999,chocolate feast ice lolly proper shocking  😩 ,chocolate feast ice lolly proper shocking   😩  ,chocolate feast ice lolly proper shocking   ,😩,😩,0
1031,booked nervous  🛩 ,booked nervous   🛩  ,booked nervous   ,🛩,,0
1051, 😭  nightmare woke  😭 ,  😭   nightmare woke   😭  ,   nightmare woke   ,😭 😭,😭 😭,0
1080,f swung piece  💩 ,f swung piece   💩  ,f swung piece   ,💩,,0
1083,sixth form morning  🎭  revolting assembly  🎭 ,sixth form morning   🎭   revolting assembly   🎭  ,sixth form morning    revolting assembly   ,🎭 🎭,,0
1087,there like shower power goes  😳  creepy panic,there like shower power goes   😳   creepy panic,there like shower power goes    creepy panic,😳,,0
1089,first day fall quarter tomorrow  😰  excited anxious,first day fall quarter tomorrow   😰   excited anxious,first day fall quarter tomorrow    excited anxious,😰,😰,0
1096,send good luck job interview tomorrow nervous  😳 ,send good luck job interview tomorrow nervous   😳  ,send good luck job interview tomorrow nervous   ,😳,,0
1099,i dont think fast panic life  😂  gave fright  😓 ,i dont think fast panic life   😂   gave fright   😓  ,i dont think fast panic life    gave fright   ,😂 😓,😂 😓,0
1150,sorry worth nearly thats plain lunacy game  😱 ,sorry worth nearly thats plain lunacy game   😱  ,sorry worth nearly thats plain lunacy game   ,😱,😱,0
1195,shocking i know  😂  hear moan cold winter,shocking i know   😂   hear moan cold winter,shocking i know    hear moan cold winter,😂,😂,0
1284,i nervous actually attractive guy talk person like i turn habit  😭 ,i nervous actually attractive guy talk person like i turn habit   😭  ,i nervous actually attractive guy talk person like i turn habit   ,😭,😭,0
1293,however i pretty sure excitement help bullet journal fright  🙃 ,however i pretty sure excitement help bullet journal fright   🙃  ,however i pretty sure excitement help bullet journal fright   ,🙃,,0
1313,ea sports technical support team  😊  me at how they were,ea sports technical support team   😊   me at how they were,ea sports technical support team    me at how they were,😊,😊,0
1329,one day drinking bottle sleeping zero my lovely horror fam watch  🎩 ,one day drinking bottle sleeping zero my lovely horror fam watch   🎩  ,one day drinking bottle sleeping zero my lovely horror fam watch   ,🎩,,0
1357,just reverse half way collect dog n reverse life  🙄 ,just reverse half way collect dog n reverse life   🙄  ,just reverse half way collect dog n reverse life   ,🙄,,0
1389,that minute like watching horror  😥 ,that minute like watching horror   😥  ,that minute like watching horror   ,😥,😥,0
1415,awe man mad sitting cutting tulle ribbon  😂 ,awe man mad sitting cutting tulle ribbon   😂  ,awe man mad sitting cutting tulle ribbon   ,😂,😂,0
1419,cant believe seeing set anxiety  🖕 ,cant believe seeing set anxiety   🖕  ,cant believe seeing set anxiety   ,🖕,,0
1426,great card  😱  its twice nightmare,great card   😱   its twice nightmare,great card    its twice nightmare,😱,😱,0
1434,horror story bed  👌🏼 ,horror story bed   👌  🏼  ,horror story bed   ,👌 🏼,,0
1445,just reverse half way collect dog n reverse life  🙄  nightmare,just reverse half way collect dog n reverse life   🙄   nightmare,just reverse half way collect dog n reverse life    nightmare,🙄,,0
1446,some people realize black feel way  😳 ,some people realize black feel way   😳  ,some people realize black feel way   ,😳,,0
1461,i idea i came air shocking  😕 ,i idea i came air shocking   😕  ,i idea i came air shocking   ,😕,😕,0
1490,i alternate sleepless nights tonight sleepless  😕  insomnia anxiety,i alternate sleepless nights tonight sleepless   😕   insomnia anxiety,i alternate sleepless nights tonight sleepless    insomnia anxiety,😕,😕,0
1493,dont early overwhelming reading use cue  😊  better,dont early overwhelming reading use cue   😊   better,dont early overwhelming reading use cue    better,😊,😊,0
1506,at end day i know worry leaving  💕 ,at end day i know worry leaving   💕  ,at end day i know worry leaving   ,💕,💕,0
1507,put passport safe getting  🌏  only problem i remember safe panic  🛂 ,put passport safe getting   🌏   only problem i remember safe panic   🛂  ,put passport safe getting    only problem i remember safe panic   ,🌏 🛂,,0
1510, 😝  horror story wrote afraid terror spread start anniversary,  😝   horror story wrote afraid terror spread start anniversary,   horror story wrote afraid terror spread start anniversary,😝,😝,0
1514,order ship sept sept today  😐 ,order ship sept sept today   😐  ,order ship sept sept today   ,😐,😐,0
1547,excited hope theyre horrid  😅 ,excited hope theyre horrid   😅  ,excited hope theyre horrid   ,😅,😅,0
1558,you know good shaking  😂 ,you know good shaking   😂  ,you know good shaking   ,😂,😂,0
1561,i want canada  😭  awe,i want canada   😭   awe,i want canada    awe,😭,😭,0
1569,zombie gore slash ghost sith horror i love  🔪 ,zombie gore slash ghost sith horror i love   🔪  ,zombie gore slash ghost sith horror i love   ,🔪,,0
1589,recording mum let know i i let high scream  😂 ,recording mum let know i i let high scream   😂  ,recording mum let know i i let high scream   ,😂,😂,0
1590,terrible past week slow dropping continuously  😕 ,terrible past week slow dropping continuously   😕  ,terrible past week slow dropping continuously   ,😕,😕,0
1604,nightmare i love it  💕 ,nightmare i love it   💕  ,nightmare i love it   ,💕,💕,0
1612,order ship sept sept today  😐  terrible,order ship sept sept today   😐   terrible,order ship sept sept today    terrible,😐,😐,0
1635,my favorite insult i straight white men usually  😂  you,my favorite insult i straight white men usually   😂   you,my favorite insult i straight white men usually    you,😂,😂,0
1726,just massive argument alarm today i didnt want i dont know going fix tomorrow morning  😕 ,just massive argument alarm today i didnt want i dont know going fix tomorrow morning   😕  ,just massive argument alarm today i didnt want i dont know going fix tomorrow morning   ,😕,😕,0
1729,i dont remember  😅  movie wasnt terrible wasnt scary i better ending  🙄 ,i dont remember   😅   movie wasnt terrible wasnt scary i better ending   🙄  ,i dont remember    movie wasnt terrible wasnt scary i better ending   ,😅 🙄,😅,0
1747,f swung piece  💩  bully,f swung piece   💩   bully,f swung piece    bully,💩,,0
1782,wrong hesitate block cut life completely  😇 ,wrong hesitate block cut life completely   😇  ,wrong hesitate block cut life completely   ,😇,😇,0
1785,determine start word heart consistently every day line line tape tape  💨 ,determine start word heart consistently every day line line tape tape   💨  ,determine start word heart consistently every day line line tape tape   ,💨,,0
1790,rescue morning turned gym hour early nightmare  ☝️ ,rescue morning turned gym hour early nightmare   ☝ ️ ,rescue morning turned gym hour early nightmare  ️ ,☝,,0
1808,agreed  😍  awe meet beautiful powerful,agreed   😍   awe meet beautiful powerful,agreed    awe meet beautiful powerful,😍,😍,0
1815,great card  😱  its twice,great card   😱   its twice,great card    its twice,😱,😱,0
1834,i hate afraid share  😔 ,i hate afraid share   😔  ,i hate afraid share   ,😔,😔,0
1843,ladies tremendous success  😂 ,ladies tremendous success   😂  ,ladies tremendous success   ,😂,😂,0
1852,when sadness leaves broken bed i hold despair love  🎶 ,when sadness leaves broken bed i hold despair love   🎶  ,when sadness leaves broken bed i hold despair love   ,🎶,,0
1893,awe thank love  💕 ,awe thank love   💕  ,awe thank love   ,💕,💕,0
1909,he fat i threaten sue  😂 ,he fat i threaten sue   😂  ,he fat i threaten sue   ,😂,😂,0
1931,shy  😅 ,shy   😅  ,shy   ,😅,😅,0
1991,i mad i lost track brown spider brown carpet where  🕷  sneaking,i mad i lost track brown spider brown carpet where   🕷   sneaking,i mad i lost track brown spider brown carpet where    sneaking,🕷,,0
1994,i dread drive  😩 ,i dread drive   😩  ,i dread drive   ,😩,😩,0
2005,did wrong fur pal shocking  😱 ,did wrong fur pal shocking   😱  ,did wrong fur pal shocking   ,😱,😱,0
2019,and i hope police met subway took straight jail  😕 ,and i hope police met subway took straight jail   😕  ,and i hope police met subway took straight jail   ,😕,😕,0
2022,awful music walk right cliff k  😘 ,awful music walk right cliff k   😘  ,awful music walk right cliff k   ,😘,😘,0
2035, 🙈  come haunt cringe bad cringe  👈  terrible gun,  🙈   come haunt cringe bad cringe   👈   terrible gun,   come haunt cringe bad cringe    terrible gun,🙈 👈,,0
2049,terrify dont let bully wear loving consistency truth rough times  ❤️ ,terrify dont let bully wear loving consistency truth rough times   ❤ ️ ,terrify dont let bully wear loving consistency truth rough times  ️ ,❤,❤,0
2051,and  😓  restless,and   😓   restless,and    restless,😓,😓,0
2064,you cool i feel slightly you are a very nice person i like the you do  💕 ,you cool i feel slightly you are a very nice person i like the you do   💕  ,you cool i feel slightly you are a very nice person i like the you do   ,💕,💕,0
2083,does blow mind i sexually harass whoa huh setback fright  😂 ,does blow mind i sexually harass whoa huh setback fright   😂  ,does blow mind i sexually harass whoa huh setback fright   ,😂,😂,0
2093,supposed know nervous  😶 ,supposed know nervous   😶  ,supposed know nervous   ,😶,,0
2129,why people start drama shoot  ☹️ ,why people start drama shoot   ☹ ️ ,why people start drama shoot  ️ ,☹,☹,0
2135,being shy biggest struggle life  🙄 ,being shy biggest struggle life   🙄  ,being shy biggest struggle life   ,🙄,,0
2148,that heart pounding nightmare experience  😨  woke morning scary bad dream  😰 ,that heart pounding nightmare experience   😨   woke morning scary bad dream   😰  ,that heart pounding nightmare experience    woke morning scary bad dream   ,😨 😰,😨 😰,0
2150,and i hope police met subway took straight jail  😕  awful,and i hope police met subway took straight jail   😕   awful,and i hope police met subway took straight jail    awful,😕,😕,0
2161,sorry this heartbreaking scary if happen happen please safe  🙏🏻 ,sorry this heartbreaking scary if happen happen please safe   🙏  🏻  ,sorry this heartbreaking scary if happen happen please safe   ,🙏 🏻,,0
2186,you sure lot doesnt concern  😉 ,you sure lot doesnt concern   😉  ,you sure lot doesnt concern   ,😉,😉,0
2191,and  😓 ,and   😓  ,and   ,😓,😓,0
2193, 🙃  school aka social anxiety  🙃 ,  🙃   school aka social anxiety   🙃  ,   school aka social anxiety   ,🙃 🙃,,0
2204,havent gotten hour sleep today going fun day  😐  restless,havent gotten hour sleep today going fun day   😐   restless,havent gotten hour sleep today going fun day    restless,😐,😐,0
2211,i fright night park month  👻 ,i fright night park month   👻  ,i fright night park month   ,👻,,0
2231,fright fest night  👻 ,fright fest night   👻  ,fright fest night   ,👻,,0
2259,i hate getting sleep  😡 ,i hate getting sleep   😡  ,i hate getting sleep   ,😡,😡,3
2267,dropping son morning shopping wedding fun afternoon your wont explode today  😀 ,dropping son morning shopping wedding fun afternoon your wont explode today   😀  ,dropping son morning shopping wedding fun afternoon your wont explode today   ,😀,😀,3
2304,but i wouldnt i bitter  😂 ,but i wouldnt i bitter   😂  ,but i wouldnt i bitter   ,😂,😂,3
2319,i want friendship group like  😧 ,i want friendship group like   😧  ,i want friendship group like   ,😧,😧,3
2326,i real sorry offended  🤷🏽‍♂️ ,i real sorry offended   🤷  🏽 ‍ ♂ ️ ,i real sorry offended  ‍️ ,🤷 🏽 ♂,,3
2328,fuming fuming  🙄  fuming,fuming fuming   🙄   fuming,fuming fuming    fuming,🙄,,3
2342,girl on teen screaming dilated  😭  i i wouldnt water,girl on teen screaming dilated   😭   i i wouldnt water,girl on teen screaming dilated    i i wouldnt water,😭,😭,3
2351, 💖 ,  💖  ,  ,💖,💖,3
2358,thats furious welsh woman what look forward future  😢 ,thats furious welsh woman what look forward future   😢  ,thats furious welsh woman what look forward future   ,😢,😢,3
2363,you crap therefore  😐  response,you crap therefore   😐   response,you crap therefore    response,😐,😐,3
2364,see people selling conference free scum  😡 ,see people selling conference free scum   😡  ,see people selling conference free scum   ,😡,😡,3
2368,anyone difficult stop making petty tweet ur absolutely raging  😬 ,anyone difficult stop making petty tweet ur absolutely raging   😬  ,anyone difficult stop making petty tweet ur absolutely raging   ,😬,😬,3
2390,i sixth grade teacher year year fifth grade teacher got mad  😂 ,i sixth grade teacher year year fifth grade teacher got mad   😂  ,i sixth grade teacher year year fifth grade teacher got mad   ,😂,😂,3
2394,binge watching revenge  🤓 ,binge watching revenge   🤓  ,binge watching revenge   ,🤓,,3
2397,no sorry pedantic reason  😂  rest spot,no sorry pedantic reason   😂   rest spot,no sorry pedantic reason    rest spot,😂,😂,3
2409,does anybody annoy talking probably trying annoy  😂 ,does anybody annoy talking probably trying annoy   😂  ,does anybody annoy talking probably trying annoy   ,😂,😂,3
2424,good know  👌🏼  hard offend comes,good know   👌  🏼   hard offend comes,good know    hard offend comes,👌 🏼,,3
2436, ☹ ,  ☹  ,  ,☹,☹,3
2455,easy unhappy  😐 ,easy unhappy   😐  ,easy unhappy   ,😐,😐,3
2458,they days bleak  😬 ,they days bleak   😬  ,they days bleak   ,😬,😬,3
2460,my head like burst  😣  thing time  😩 ,my head like burst   😣   thing time   😩  ,my head like burst    thing time   ,😣 😩,😩,3
2461,the hotel alarm clock going morning unplug  😤 ,the hotel alarm clock going morning unplug   😤  ,the hotel alarm clock going morning unplug   ,😤,😤,3
2477,worse boil z  😭 ,worse boil z   😭  ,worse boil z   ,😭,😭,3
2478,mad laughing actually tweet tony  😂 ,mad laughing actually tweet tony   😂  ,mad laughing actually tweet tony   ,😂,😂,3
2484,i hope dont animosity new  🙇🏽‍♀️ ,i hope dont animosity new   🙇  🏽 ‍ ♀ ️ ,i hope dont animosity new  ‍️ ,🙇 🏽 ♀,,3
2485,once ill graduate i hope ill time start learning long  😢 ,once ill graduate i hope ill time start learning long   😢  ,once ill graduate i hope ill time start learning long   ,😢,😢,3
2491,screw work  😠  time cut worthless,screw work   😠   time cut worthless,screw work    time cut worthless,😠,😠,3
2498,i patient waiting money came rage gone hard  😆 ,i patient waiting money came rage gone hard   😆  ,i patient waiting money came rage gone hard   ,😆,😆,3
2507,poor dogs have bite sun bitch  😠 ,poor dogs have bite sun bitch   😠  ,poor dogs have bite sun bitch   ,😠,😠,3
2515,really enjoying incense house moment sense calm  💆🏽  incense,really enjoying incense house moment sense calm   💆  🏽   incense,really enjoying incense house moment sense calm    incense,💆 🏽,,3
2525,happy right i beaten second game crash bandicoot didnt mad  😡  game  😂 ,happy right i beaten second game crash bandicoot didnt mad   😡   game   😂  ,happy right i beaten second game crash bandicoot didnt mad    game   ,😡 😂,😡 😂,3
2527,mad spent time kodak morning  😡 ,mad spent time kodak morning   😡  ,mad spent time kodak morning   ,😡,😡,3
2532,watching insecure bitch cheating loyal ass and breakfast stay happy  🙄 ,watching insecure bitch cheating loyal ass and breakfast stay happy   🙄  ,watching insecure bitch cheating loyal ass and breakfast stay happy   ,🙄,,3
2534,good ass day yesterday went sleep happy man woke happy id usually hell  😂 ,good ass day yesterday went sleep happy man woke happy id usually hell   😂  ,good ass day yesterday went sleep happy man woke happy id usually hell   ,😂,😂,3
2535,dull moment u  💕 ,dull moment u   💕  ,dull moment u   ,💕,💕,3
2539,free my man from  😤 ,free my man from   😤  ,free my man from   ,😤,😤,3
2542,oh lord i hit cause floor throw  🤦🏽‍♀️ ,oh lord i hit cause floor throw   🤦  🏽 ‍ ♀ ️ ,oh lord i hit cause floor throw  ‍️ ,🤦 🏽 ♀,,3
2547,fan i hate joe buck glad old  😂  bitter,fan i hate joe buck glad old   😂   bitter,fan i hate joe buck glad old    bitter,😂,😂,3
2564, ☹ ,  ☹  ,  ,☹,☹,3
2567,damn twitter making everybody mad hilarious  😂 ,damn twitter making everybody mad hilarious   😂  ,damn twitter making everybody mad hilarious   ,😂,😂,3
2569,juvenile peregrine morning saint fuming  😉 ,juvenile peregrine morning saint fuming   😉  ,juvenile peregrine morning saint fuming   ,😉,😉,3
2576,horrible interview u talk paper bag u dont buy crap coming ur mouth  👎 ,horrible interview u talk paper bag u dont buy crap coming ur mouth   👎  ,horrible interview u talk paper bag u dont buy crap coming ur mouth   ,👎,,3
2579,dear fellow fall despair soon drink beer end  🐬 ,dear fellow fall despair soon drink beer end   🐬  ,dear fellow fall despair soon drink beer end   ,🐬,,3
2595,tiff yes  👌 ,tiff yes   👌  ,tiff yes   ,👌,,3
2609,i i people post i know fuming  🙃 ,i i people post i know fuming   🙃  ,i i people post i know fuming   ,🙃,,3
2612,i graduated yesterday family job got  😂  nightmare,i graduated yesterday family job got   😂   nightmare,i graduated yesterday family job got    nightmare,😂,😂,3
2620,offended cause  😜 ,offended cause   😜  ,offended cause   ,😜,😜,3
2634,me start semester mids passing quit  😡 ,me start semester mids passing quit   😡  ,me start semester mids passing quit   ,😡,😡,3
2642,recommend burning scalp sun glowing red  😂  cap need,recommend burning scalp sun glowing red   😂   cap need,recommend burning scalp sun glowing red    cap need,😂,😂,3
2646,man  😡  face head hurting,man   😡   face head hurting,man    face head hurting,😡,😡,3
2661,all great news hurting folk happy  😊 ,all great news hurting folk happy   😊  ,all great news hurting folk happy   ,😊,😊,3
2665,offense love k culture u love want  💖  personally want know,offense love k culture u love want   💖   personally want know,offense love k culture u love want    personally want know,💖,💖,3
2666, 😠  waiting update fraction,  😠   waiting update fraction,   waiting update fraction,😠,😠,3
2688,pound despite because idiocy arrogance  ☹️ ,pound despite because idiocy arrogance   ☹ ️ ,pound despite because idiocy arrogance  ️ ,☹,☹,3
2689,sick w my ex na getting crap you like month  😂 ,sick w my ex na getting crap you like month   😂  ,sick w my ex na getting crap you like month   ,😂,😂,3
2691,hate tan refuse tan salon  🙄 ,hate tan refuse tan salon   🙄  ,hate tan refuse tan salon   ,🙄,,3
2695,air disrespectful  😡 ,air disrespectful   😡  ,air disrespectful   ,😡,😡,3
2702,i read bed  😀 ,i read bed   😀  ,i read bed   ,😀,😀,3
2703,read laying sort forget boiling sun sweat poring face  🙌 ,read laying sort forget boiling sun sweat poring face   🙌  ,read laying sort forget boiling sun sweat poring face   ,🙌,,3
2705,extra lazy today  😟 ,extra lazy today   😟  ,extra lazy today   ,😟,,3
2729,people worst going tell i know bout life thats i i care  😤 ,people worst going tell i know bout life thats i i care   😤  ,people worst going tell i know bout life thats i i care   ,😤,😤,3
2734,i said new  😊 ,i said new   😊  ,i said new   ,😊,😊,3
2739,transfer news theres  😡 ,transfer news theres   😡  ,transfer news theres   ,😡,😡,3
2748,thanks  💚  tiff got pair ill probably steal,thanks   💚   tiff got pair ill probably steal,thanks    tiff got pair ill probably steal,💚,,3
2754,point sa di jud di jud  ☹  ga ta  😭 ,point sa di jud di jud   ☹   ga ta   😭  ,point sa di jud di jud    ga ta   ,☹ 😭,☹ 😭,3
2765,battery drain red hot  🙁 ,battery drain red hot   🙁  ,battery drain red hot   ,🙁,,3
2782, 🎃  hatred racism everyone,  🎃   hatred racism everyone,   hatred racism everyone,🎃,,3
2791,think got tired waiting didnt talk  😠 ,think got tired waiting didnt talk   😠  ,think got tired waiting didnt talk   ,😠,😠,3
2792,now happy won  😡 ,now happy won   😡  ,now happy won   ,😡,😡,3
2793,i think i tomorrow i aint ready  😥 ,i think i tomorrow i aint ready   😥  ,i think i tomorrow i aint ready   ,😥,😥,3
2794,boom  😡 ,boom   😡  ,boom   ,😡,😡,3
2795,sorry i dont know i know  😂  but sadly it wont create account,sorry i dont know i know   😂   but sadly it wont create account,sorry i dont know i know    but sadly it wont create account,😂,😂,3
2801,mosquito bit ankle morning  😢  walking house,mosquito bit ankle morning   😢   walking house,mosquito bit ankle morning    walking house,😢,😢,3
2803,its let hurt  🤗  thats hugging ya bitter ass,its let hurt   🤗   thats hugging ya bitter ass,its let hurt    thats hugging ya bitter ass,🤗,,3
2804,i hate smell  😠 ,i hate smell   😠  ,i hate smell   ,😠,😠,3
2812,do fall asleep set alarm lord wakes time anyways  🙌🏻 ,do fall asleep set alarm lord wakes time anyways   🙌  🏻  ,do fall asleep set alarm lord wakes time anyways   ,🙌 🏻,,3
2813,i dont know rain comes talk times  😡 ,i dont know rain comes talk times   😡  ,i dont know rain comes talk times   ,😡,😡,3
2818,trying i getting told list  😞 ,trying i getting told list   😞  ,trying i getting told list   ,😞,,3
2824,i mico  😭 ,i mico   😭  ,i mico   ,😭,😭,3
2830,mad stop making effort goes silent  😂 ,mad stop making effort goes silent   😂  ,mad stop making effort goes silent   ,😂,😂,3
2836,wow person  🙄  nice day clearly ur u lost  😂 ,wow person   🙄   nice day clearly ur u lost   😂  ,wow person    nice day clearly ur u lost   ,🙄 😂,😂,3
2840,i live aggravate morning  😎 ,i live aggravate morning   😎  ,i live aggravate morning   ,😎,😎,3
